Placement,identifying number,M / F,Athlete,Sport,SSS,AES,Transfer,Continuing,Prev. E&D Instructor,Section #'s can't be placed into (due to prev professor),Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,4149,F,,,,,,,,,106-02,106-22,106-36,106-24,106-01,106-17
,2039,M,Y,FB,,,,,,,106-02,106-22,106-20,106-15,106-28,106-36
,4222,M,Y,MTN,,,,,,,106-02,106-06,106-03,106-17,106-10,
,562,F, ,,,,,,,,106-22,106-02,106-21,106-06,106-20,106-27
,3609,M, ,,,,,,,,106-22,106-02,106-21,106-28,106-32,106-12
,1813,F, ,,,,,,,,106-02,106-04,106-31,106-06,106-03,106-10
,1858,F, ,,,,,,,,106-22,106-02,106-06,106-21,106-03,106-24
,1749,M,Y,FB,,,,,,,106-02,106-22,106-04,106-11,106-35,106-03
,2335,F,Y,WTN,,,,,,,106-02,106-22,106-26,106-13,106-27,106-15
,2859,F, ,,,,,,,,106-03,106-27,106-17,106-24,106-28,106-20
,3792,M,Y,BB,,,,,,,106-02,106-03,106-01,106-05,106-31,106-12
,2501,F, ,,,,,,,,106-18,106-03,106-31,106-06,106-27,106-11
,3095,F, ,,,,,,,,106-03,106-17,106-05,106-35,106-07,106-29
,1999,M, ,,,,,,,,106-36,106-08,106-15,106-06,106-27,106-12
,4017,M,Y,BB,,,,,,,106-03,106-12,106-02,106-05,106-32,106-04
,1810,F, ,,,,,,,,106-02,106-03,106-27,106-10,106-35,106-05
,3872,F, ,,,,,,,,106-31,106-26,106-20,106-14,106-10,106-27
,3420,F,,,,,,,,,,,,,,
,4669,F,,,,,,,,,,,,,,
,1613,F,,,,,Y,,,,,,,,,
106-03,2868,F,Y,WSW,Y,,,,,,106-02,106-03,106-28,106-27,106-05,
106-03,1175,M, ,,Y,,,,,,106-03,106-10,106-26,106-27,106-29,106-18
,2926,F, ,,,,,,,,106-03,106-08,106-20,106-31,106-26,106-15
,1664,F, ,,,,,,,,106-03,106-15,106-27,106-06,106-31,
,2058,F, ,,,,,,,,106-03,106-17,106-28,106-02,106-25,106-35
,351,F,,,,,,,,,106-08,106-11,106-12,106-31,106-25,106-13
,2913,F, ,,,,,,,,106-04,106-31,106-05,106-11,106-10,106-06
,793,F, ,,,,,,,,106-04,106-17,106-03,106-05,106-35,106-06
106-04,3159,F,Y,WBK,Y,,,,,,106-04,106-31,106-11,106-17,106-27,106-36
,4418,F,Y,SO,,,,,,,106-04,106-31,106-36,106-28,106-26,106-02
,4766,F, ,,,,,,,,106-11,106-04,106-08,106-03,106-07,
,2380,F, ,,,,,,,,106-11,106-07,106-29,106-20,106-01,106-32
,3570,F, ,,,,,,,,106-04,106-06,106-25,106-28,106-27,106-15
,4583,F, ,,,,,,,,106-27,106-11,106-08,106-07,106-26,106-31
,4810,F, ,,,,,,,,106-31,106-11,106-24,106-20,106-27,106-21
,2832,F, ,,,,,,,,106-04,106-31,106-26,106-36,106-15,106-10
,4297,M,Y,BB,,,,,,,106-04,106-03,106-08,106-11,106-20,106-27
,2478,M,Y,BB,,,,,,,106-04,106-02,106-03,106-08,106-17,
,3121,F, ,,,,,,,,106-04,106-17,106-08,106-06,106-29,
,16,M,Y,FB,,,,,,,106-04,106-03,106-17,106-06,106-08,106-35
,19,M, ,,,,,,,,106-04,106-18,106-31,106-35,106-06,106-03
,20,M, ,,,,,,,,106-06,106-04,106-15,106-12,106-03,106-22
,33,F, ,,,,,,,,106-15,106-11,106-27,106-31,106-30,106-13
,45,M, ,,,,,,,,106-04,106-25,106-03,106-21,106-27,106-32
,83,F, ,,,,,,,,106-04,106-26,106-03,106-27,106-03,
,86,F, ,,,,,,,,106-05,106-27,106-28,106-31,106-03,106-35
,87,F, ,,,,,,,,106-26,106-32,106-31,106-28,106-30,106-27
,92,M,Y,FB,,,,,,,106-15,106-05,106-06,106-28,106-08,106-22
,95,F, ,,,,,,,,106-17,106-05,106-07,106-03,106-04,
,100,F, ,,,,,,,,106-05,106-03,106-36,106-26,106-29,
,104,F, ,,,,,,,,106-05,106-32,106-04,106-15,106-25,106-07
,112,F, ,,,,Y,,,,106-27,106-05,106-32,106-12,106-15,106-06
,113,M,Y,MSW,,,,,,,106-05,106-30,106-06,106-30,106-15,106-19
,132,M, ,,,,,,,,106-17,106-05,106-07,106-35,106-06,106-04
106-05,133,F, ,,Y,,,,,,106-05,106-17,106-04,106-36,106-01,106-35
106-05,138,F,,,Y,,,,,,106-05,106-17,106-31,106-27,106-03,106-09
,142,F,Y,"WCC, WTF",,,,,,,106-15,106-02,106-05,106-18,106-03,106-12
,166,F, ,,,,,,,,106-05,106-03,106-04,106-17,106-31,106-35
,170,M, ,,,,,,,,106-05,106-30,106-32,106-04,106-11,106-31
,173,M, ,,,,,,,,106-06,106-05,106-28,106-22,106-12,
,190,M, ,,,,,,,,106-05,106-28,106-36,106-31,106-04,106-35
,199,F, ,,,,,,,,106-05,106-06,106-25,106-02,106-03,
106-06,205,M,,,,Y,,,,,106-06,106-04,106-21,106-11,106-06,106-01
,210,F, ,,,,,,,,106-27,106-06,106-05,106-12,106-32,106-26
,212,F,,,,,,,,,,,,,,
,225,F, ,,,,,,,,106-06,106-07,106-07,106-31,106-27,106-24
106-06,233,M,Y,"MCC, MTF",Y,,,,,,106-06,106-02,106-15,106-28,106-03,106-12
,252,F, ,,,,,,,,106-06,106-21,106-31,106-27,106-28,106-10
,261,F, ,,,,,,,,106-12,106-06,106-26,106-27,106-05,106-22
,287,F, ,,,,,,,,106-06,106-32,106-05,106-15,106-12,106-31
,289,F,Y,WSO,,,,,,,106-06,106-07,106-04,106-35,106-17,106-03
,308,F, ,,,,,,,,106-06,106-27,106-26,106-21,106-08,106-15
,348,M,Y,"BB, MGO",,,,,,,106-06,106-22,106-15,106-05,106-07,106-27
106-06,349,F,Y,WTN,Y,,,,,,106-06,106-15,106-27,106-35,106-31,106-28
,356,F,,,,,,,,,,,,,,
,357,M,Y,FB,,,,,,,106-06,106-04,106-27,106-22,106-35,106-26
106-06,359,M,,,,Y,,Y,"Reed, copenhaver","106-13, 106-19, 106-35",106-06,106-07,106-25,106-08,106-19,
,370,F,,,,,,,,,,,,,,
,375,M,Y,FB,,,,,,,106-12,106-06,106-21,106-02,106-22,106-31
,377,F, ,,,,,,,,106-15,106-06,106-27,106-05,106-31,106-26
,388,M, ,,,,,,,,106-06,106-12,106-07,106-26,106-28,106-32
,407,F, ,,,,,,,,106-07,106-24,106-11,106-17,106-15,106-27
,413,F, ,,,,,,,,106-07,106-05,106-27,106-33,106-15,106-28
,424,F, ,,,,,,,,106-07,106-27,106-31,106-06,106-15,
106-07,426,F, ,,Y,,,,,,106-07,106-26,106-01,106-32,106-27,106-33
,437,M, ,,,,,,,,106-07,106-17,106-03,106-14,106-08,106-24
,438,F, ,,,,,,,106-10,106-07,106-31,106-28,106-32,106-10,106-08
,439,M, ,,,,,,,,106-07,106-31,106-27,106-26,106-21,106-32
,457,F, ,,,,,,,,106-07,106-24,106-05,106-04,106-27,106-15
,469,M, ,,,,,,,106-26,106-07,106-24,106-36,106-28,106-26,106-22
,492,F, ,,,,,,,,106-24,106-21,106-14,106-32,106-33,106-13
,499,M,,,,,,,,,106-07,106-36,106-17,106-01,106-06,106-31
,507,F, ,,,,,,,,106-07,106-06,106-08,106-25,106-31,106-35
,511,M, ,,,,,,,,106-07,106-32,106-10,106-12,106-22,
,515,F, ,,,,,,,,106-07,106-08,106-17,106-17,106-06,106-12
,524,M, ,,,,,,,,106-07,106-17,106-05,106-08,106-25,106-19
,529,F, ,,,,,,,,106-07,106-11,106-08,106-27,106-28,106-26
,533,F, ,,,,,,,,106-07,106-14,106-06,106-08,106-27,106-31
,536,F,Y,"WSO, WTN",,,,,,,106-15,106-07,106-27,106-22,106-17,106-31
,553,M, ,,,,,,,,106-07,106-24,106-36,106-08,106-20,106-22
,560,M, ,,,,,,,,106-08,106-26,106-07,106-15,106-32,106-31
,579,F, ,,,,,,,,106-31,106-08,106-07,106-05,106-35,106-29
,600,M, ,,,,,,,,106-08,106-17,106-06,106-15,106-27,106-28
,602,F, ,,,,,,,,106-27,106-08,106-01,106-04,106-25,106-19
,603,F, ,,,,,,,,106-08,106-07,106-26,106-27,106-28,106-22
,619,F, ,,,,,,,,106-08,106-20,106-31,106-26,106-27,106-18
,623,M, ,,,,,,,,106-17,106-27,106-08,106-29,106-28,106-31
,625,M,Y,FB,,,,,,,106-04,106-11,106-08,106-03,106-35,106-26
,627,F, ,,,,,,,,106-08,106-27,106-26,106-31,106-30,
,628,M, ,,,,,,,,106-08,106-11,106-26,106-12,106-31,106-19
,639,M,Y,MBK,,,,,,,106-03,106-08,106-01,106-17,106-02,106-04
,651,F, ,,,,,,,,106-27,106-08,106-22,106-07,106-26,106-30
,652,F, ,,,,,,,,106-08,106-17,106-05,106-07,106-33,106-04
,657,F, ,,,,,,,,106-08,106-07,106-11,106-32,106-19,
,662,F, ,,,,,,,,106-08,106-07,106-06,106-04,106-17,106-35
,683,M,Y,FB,,,,,,,106-03,106-15,106-14,106-30,106-20,106-13
,686,F, ,,,,,,,,106-08,106-27,106-12,106-22,106-18,106-15
,687,F, ,,,,,,,,106-09,106-24,106-18,106-31,106-07,106-29
,695,F, ,,,,,,,,106-15,106-09,106-26,106-24,106-14,106-31
106-09,696,F, ,,Y,,,,,,106-27,106-09,106-31,106-21,106-14,106-24
106-09,706,F,,,,Y,,Y,"Reed, Smith-Cannoy",106-31,106-09,106-11,106-24,106-13,106-07,106-18
106-18,721,F, ,,Y,,,,,,106-31,106-36,106-18,106-02,106-35,106-04
,729,F,,,,,Y,,,,106-31,106-03,106-09,106-26,106-07,106-05
,731,F, ,,,,,,,,106-22,106-12,106-09,106-31,106-27,106-21
,740,F, ,,,,,,,,106-12,106-22,106-09,106-20,106-26,106-27
,744,M,Y,FB,,,,,,,106-26,106-31,106-09,106-32,106-30,
,748,M, ,,,,,,,,106-11,106-22,106-09,106-12,106-15,106-27
,751,F,Y,WSO,,,,,,,106-30,106-09,106-15,106-20,106-13,106-12
,761,M, ,,,,,,,,106-15,106-11,106-09,106-22,106-20,106-14
,783,M,,,,,,,,,,,,,,
,787,M, ,,,,,,,,106-22,106-09,106-31,106-12,106-13,106-11
,789,M, ,,,,,,,,106-15,106-33,106-09,106-21,106-12,106-22
,792,M,,,,,Y,Y,"Reed, Lochner","106-12, 106-13, 106-19, 106-35",,,,,,
,798,F,Y,WTN,,,,,,,106-31,106-21,106-09,106-24,106-22,106-30
106-09,800,F,,,,Y,,,,,106-09,106-21,106-15,106-10,106-09,106-33
106-15,826,F,,,,Y,,,,,106-09,106-15,106-10,106-32,106-21,
,845,F,,,,,,,,,,,,,,
,846,M, ,,,,,,,,106-14,106-10,106-20,106-21,106-12,106-11
,862,F, ,,,,,,,,106-26,106-10,106-28,106-31,106-33,106-14
,884,F, ,,,,,,,,106-10,106-15,106-32,106-22,106-08,106-33
,900,F, ,,,,,,,106-28,106-10,106-31,106-27,106-12,106-28,106-09
,917,F, ,,,,,,,,106-10,106-31,106-07,106-24,106-08,106-21
,924,F, ,,,,,,,,106-06,106-10,106-12,106-13,106-22,106-31
,938,F,Y,SO,,,,,,,106-10,106-27,106-09,106-31,106-32,106-30
,939,F, ,,,,,,,,106-31,106-10,106-09,106-21,106-26,106-18
,947,F, ,,,,,,,,106-22,106-10,106-31,106-27,106-18,106-12
,964,F,Y,SB,,,,,,,106-27,106-10,106-32,106-26,106-12,106-31
,970,M,,,,,,,,,,,,,,
,997,M,,,,,,,,,,,,,,
,1011,M,,,,,,,,,,,,,,
,1022,F, ,,,,,,,,106-08,106-10,106-27,106-13,106-26,106-20
,1030,F, ,,,,,,,,106-31,106-10,106-27,106-09,106-33,106-12
106-10,1057,F,Y,VB,Y,,Y,,,,106-27,106-10,106-04,106-26,106-28,
,1063,F, ,,,,,,,,106-10,106-22,106-21,106-31,106-27,106-09
,1074,F, ,,,,,,,,106-26,106-11,106-22,106-12,106-29,106-31
,1080,F,Y,VB,,,,,,,106-11,106-15,106-31,106-14,106-19,106-22
106-04,1085,F, ,,Y,,,,,,106-25,106-26,106-15,106-04,106-11,106-07
,1089,M,,,,,,,,,106-04,106-11,106-12,106-18,106-01,106-06
,1094,F, ,,,,,,,,106-11,106-14,106-10,106-27,106-12,106-20
,1101,F, ,,,,,,,,106-11,106-01,106-27,106-07,106-25,106-19
,1111,F, ,,,,,,,,106-11,106-31,106-15,106-33,106-12,106-21
,1113,F, ,,,,,,,,106-11,106-31,106-26,106-24,106-10,106-15
106-11,1128,F,Y,SO,Y,,,,,,106-11,106-22,106-30,106-24,106-12,106-13
106-11,1130,M, ,,Y,,,,,,106-25,106-11,106-29,106-27,106-30,106-31
,1133,F, ,,,,,,,,106-11,106-31,106-02,106-25,106-27,106-30
,1134,M,Y,"FB, MTF",,,,,,,106-11,106-14,106-20,106-28,106-01,106-01
,1138,M, ,,,,,,,,106-11,106-04,106-07,106-25,106-27,106-22
,1142,F,,,,,Y,Y,"Ritchey, Galaty","106-06, 106-07, 106-21, 106-24, 106-36",106-11,106-01,106-35,106-36,106-18,106-13
,1170,M,Y,MTN,,,,,,,106-11,106-32,106-22,106-24,106-26,
,1172,F, ,,,,,,,,106-11,106-27,106-29,106-22,106-15,106-19
106-04,1182,F, ,,Y,,,,,,106-04,106-02,106-12,106-06,106-15,106-05
,1183,F,Y,WSW,,,,,,,106-11,106-31,106-27,106-15,106-20,106-21
,1227,M,,,,,,,,,106-11,106-04,106-21,106-06,106-35,106-33
,1252,F, ,,,,,,,,106-15,106-12,106-07,106-31,106-25,106-06
,1255,M, ,,,,,,,,106-12,106-21,106-14,106-22,106-19,106-15
,1257,F, ,,,,,,,,106-12,106-02,106-27,106-29,106-28,106-35
,1273,F, ,,,,,,,,106-12,106-22,106-05,106-33,106-28,106-29
,1276,M, ,,,,,,,,106-12,106-15,106-06,106-26,106-33,106-08
,1277,F, ,,,,,,,,106-15,106-12,106-22,106-09,106-31,106-24
,1279,F, ,,,,,,,,106-12,106-31,106-32,106-28,106-26,106-25
,1280,F, ,,,,,,,,106-15,106-12,106-20,106-22,106-14,106-11
,1285,M, ,,,,,,,,106-06,106-18,106-12,106-25,106-31,106-17
,1290,F, ,,,,,,,,106-12,106-28,106-21,106-30,106-27,106-14
,1299,F,,,,,,,,,106-12,106-15,106-06,106-21,106-32,106-26
,1301,F,Y,WSW,,,,,,,106-12,106-31,106-14,106-11,106-30,106-21
,1305,F, ,,,,,,,,106-18,106-02,106-12,106-06,106-29,106-07
,1306,M,Y,FB,,,,,,,106-12,106-22,106-06,106-15,106-17,106-04
,1310,F, ,,,,,,,,106-31,106-12,106-15,106-21,106-20,106-13
,1331,F, ,,,,,,,,106-12,106-02,106-05,106-17,106-21,106-10
,1338,F, ,,,,,,,,106-12,106-21,106-22,106-28,106-30,106-33
,1340,M,Y,MGO,,,,,,,106-12,106-22,106-32,106-11,106-20,106-14
,1345,M,,,,,,,,,106-12,106-07,106-20,106-26,106-24,106-09
,1354,F, ,,,,,,,,106-27,106-14,106-13,106-24,106-30,106-22
106-13,1361,F,,,,Y,,Y,Ritchey,"106-36, 106-24, 106-07",106-07,106-15,106-13,106-22,106-13,106-35
,1370,M,,,,,,,,,,,,,,
,1376,M, ,,,,,,,,106-15,106-21,106-13,106-33,106-27,106-31
106-13,1386,F,Y,WTF,Y,,,,,,106-21,106-22,106-15,106-13,106-31,106-20
,1395,F, ,,,,,,,,106-13,106-30,106-15,106-20,106-11,106-27
,1396,M, ,,,,,,,,106-12,106-21,106-13,106-14,106-29,106-20
,1401,F, ,,,,,,,,106-21,106-13,106-14,106-27,106-26,106-31
,1417,F, ,,,,,,,,106-15,106-27,106-13,106-26,106-36,106-14
,1424,F,,,,Y,,,,,,,,,,
,1425,F, ,,,,,,,,106-22,106-30,106-13,106-09,106-27,106-24
,1426,F, ,,,,,,,,106-31,106-21,106-13,106-15,106-20,106-33
,1438,F,,,,,,,,,106-31,106-13,106-21,106-15,106-10,106-24
,1445,F,,,,,,,,,106-15,106-29,106-13,106-21,106-26,106-30
106-14,1455,F, ,,Y,,,,,,106-28,106-09,106-13,106-31,106-10,106-29
,1461,M,Y,FB,,,,,,,106-22,106-30,106-13,106-20,106-19,106-28
,1463,M, ,,,,,,,,106-15,106-35,106-21,106-12,106-28,106-24
,1474,F, ,,,,,,,,106-31,106-26,106-13,106-21,106-27,106-15
,1480,F, ,,,,,,,,106-14,106-26,106-27,106-24,106-31,106-20
,1485,F, ,,,,,,,,106-15,106-17,106-27,106-04,106-28,106-05
,1490,F, ,,,,,,,,106-15,106-14,106-24,106-31,106-26,106-07
,1491,M, ,,,,,,,,106-14,106-15,106-30,106-12,106-06,106-28
,1499,F, ,,,,,,,,106-14,106-10,106-27,106-26,106-31,106-28
,1503,F,Y,WTN,,,,,,,106-14,106-20,106-26,106-32,106-24,106-27
,1508,M, ,,,,,,,,106-14,106-27,106-21,106-15,106-29,106-20
,1511,M, ,,,,,,,,106-14,106-26,106-32,106-28,106-15,106-20
,1514,F, ,,,,,,,,106-15,106-14,106-27,106-24,106-25,106-13
,1530,M, ,,,,,,,,106-14,106-20,106-30,106-27,106-31,
,1565,M, ,,Y,,,,,,106-14,106-15,106-21,106-11,106-12,106-22
,1574,F, ,,,,,,,,106-01,106-17,106-06,106-32,106-05,106-28
,1578,M,,,,,Y,Y,Reed,"106-13, 106-19, 106-35",106-14,106-22,106-11,106-09,106-22,106-25
,1592,M, ,,,,,,,,106-15,106-14,106-32,106-26,106-29,106-22
,1610,M,,,,,,,,,106-14,106-24,106-17,106-07,106-27,106-28
,1615,M, ,,,,,,,,106-14,106-06,106-31,106-36,106-25,106-35
,1619,M, ,,,,,,,,106-14,106-20,106-10,106-13,106-17,106-31
,1626,M, ,,,,,,,,106-14,106-11,106-32,106-24,106-27,
,1641,M, ,,,,,,,,106-14,106-22,106-26,106-31,106-15,106-30
,1643,M, ,,,,,,,,106-15,106-27,106-26,106-36,106-28,106-12
,1650,M, ,,,,,,,,106-15,106-11,106-32,106-31,106-27,106-26
,1661,F, ,,,,,,,,106-15,106-31,106-06,106-26,106-27,106-22
,1666,M, ,,,,,,,,106-15,106-31,106-12,106-21,106-03,
,1667,M, ,,,,,,,,106-15,106-02,106-22,106-26,106-25,106-27
,1669,F, ,,,,,,,,106-15,106-27,106-32,106-20,106-31,106-24
,1670,F, ,,,,,,,,106-15,106-11,106-12,106-22,106-31,106-33
,1681,M, ,,,,,,,,106-15,106-07,106-30,106-22,106-28,106-31
,1693,F, ,,,,,,,,106-15,106-24,106-11,106-20,106-22,106-26
,1714,M, ,,,,,,,,106-15,106-21,106-12,106-09,106-13,106-22
,1716,F, ,,,,,,,,106-15,106-36,106-12,106-28,106-05,106-03
,1719,F, ,,,,,,,,106-15,106-11,106-26,106-33,106-24,106-30
,1724,M, ,,,,,,,,106-15,106-27,106-32,106-33,106-20,106-24
,1726,F, ,,,,,,,,106-15,106-27,106-30,106-29,106-26,106-11
,1732,F, ,,,,,,,,106-15,106-27,106-30,106-09,106-26,106-31
,1740,F, ,,,,,,,,106-15,106-31,106-28,106-25,106-33,106-07
,1759,F, ,,,,,,,,106-15,106-27,106-26,106-31,106-24,
,1774,M, ,,,,,,,,106-15,106-24,106-30,106-22,106-14,106-11
,1777,M, ,,,,,,,,106-15,106-13,106-18,106-36,106-35,106-01
,1785,M, ,,,,,,,,106-01,106-15,106-03,106-27,106-25,106-06
,1787,M, ,,,,,,,,106-17,106-15,106-28,106-03,106-24,106-05
,1789,F, ,,,,,,,,106-17,106-03,106-08,106-04,106-07,106-25
106-01,1792,M,Y,,Y,,,,,,,,,,,
,1795,F, ,,,,,,,,106-17,106-14,106-01,106-18,106-09,106-15
,1798,M,Y,FB,,,,,,,106-17,106-08,106-06,106-05,106-04,106-12
,1806,F, ,,,,,,,,106-15,106-24,106-14,106-28,106-31,106-10
,1816,M, ,,Y,,,,,,106-36,106-15,106-01,106-31,106-06,106-04
,1828,F,,,,,,,,,,,,,,
,1838,F,Y,SO,,,,,,,106-14,106-33,106-27,106-09,106-22,106-31
,1847,M, ,,,,,,,,106-36,106-05,106-17,106-35,106-03,106-02
,1852,M, ,,,,,,,,106-17,106-03,106-05,106-04,106-35,106-06
,1877,F, ,,,,,,,,106-27,106-26,106-17,106-06,106-15,106-22
,1898,F, ,,,,,,,,106-31,106-07,106-17,106-35,106-26,106-04
,1908,M, ,,,,,,,,106-17,106-04,106-10,106-15,106-12,106-30
,1946,M,,,,,,,,,,,,,,
,1949,M, ,,,,,,,,106-12,106-18,106-35,106-06,106-26,106-05
,1952,F, ,,,,,,,,106-31,106-18,106-35,106-03,106-27,106-02
,1957,M, ,,,,,,,,106-18,106-22,106-09,106-06,106-21,106-02
,1977,M,,,,,,,,,,,,,,
,1997,M,Y,MTN,,,,,,,106-31,106-17,106-18,106-15,106-35,106-07
,2012,F,,,,,,,,,106-01,106-17,106-14,106-18,106-09,106-31
,2023,F, ,,,,,,,,106-21,106-04,106-18,106-36,106-05,106-01
,2025,F, ,,,,,,,,106-18,106-03,106-15,106-12,106-31,106-28
,2030,F, ,,,,,,,,106-18,106-31,106-15,106-26,106-24,106-29
,2042,M,,,,,,,,,,,,,,
,2043,M, ,,,,,,,,,,,,,
,2047,M, ,,,,Y,,,,106-18,106-06,106-04,106-05,106-17,106-03
,2049,F, ,,,,,,,,106-27,106-12,106-18,106-15,106-31,106-26
,2059,F,,,,,,,,,,,,,,
,2060,F,,,,,,,,,,,,,,
,2062,M, ,,,,,,,,106-12,106-27,106-18,106-25,106-30,106-33
106-08,2105,F,,,Y,,,,,,,,,,,
,2107,F,,,,,,,,,,,,,,
,2108,M,,,,,,,,,106-06,106-08,106-19,106-27,106-15,106-18
,2114,M,,,,,,,,,,,,,,
,2115,F,Y,"WCC, WTF",,,,,,,106-31,106-26,106-19,106-10,106-07,106-04
,2123,F,,,,,,,,,106-31,106-36,106-24,106-19,106-13,106-22
,2124,F, ,,,,,,,,106-19,106-32,106-33,106-28,106-20,106-21
106-19,2126,F,,,,Y,,,,,106-36,106-18,106-01,106-19,106-02,
,2127,F, ,,,,,,,,106-02,106-12,106-06,106-19,106-03,106-25
,2142,M,Y,FB,,,,,,,106-19,106-35,106-13,106-08,106-15,106-28
,2147,M, ,,,,,,,,106-32,106-28,106-15,106-19,106-19,106-29
,2148,M, ,,,,,,,,106-25,106-13,106-33,106-24,106-21,106-15
,2150,F, ,,,,,,,,106-22,106-26,106-25,106-19,106-35,106-35
,2154,F,Y,WBK,,,,,,,106-11,106-35,106-02,106-20,106-01,106-20
106-19,2156,M,,,,Y,,Y,Roberts,"106-09, 106-18",106-01,106-02,106-18,106-19,106-25,
,2159,M, ,,,,,,,,106-36,106-19,106-02,106-21,106-27,106-03
,2161,M, ,,,,,,,,106-32,106-28,106-19,106-02,106-21,106-31
,2166,F,Y,WSO,,,,,,,106-31,106-20,106-30,106-11,106-24,106-26
,2167,M,Y,BB,,,,,,,106-15,106-20,106-21,106-26,106-31,106-33
,2168,M, ,,,,,,,,106-26,106-20,106-14,106-27,106-29,106-32
,2169,F, ,,,,,,,,106-20,106-15,106-21,106-09,106-11,106-12
,2180,M,Y,FB,,,,,,,106-26,106-20,106-15,106-14,106-21,106-27
,2192,M, ,,,,,,,,106-20,106-14,106-10,106-28,106-09,106-31
,2207,F,,,,,,,,,106-24,106-20,106-27,106-07,106-30,106-08
,2221,F, ,,,,,,,,106-26,106-20,106-31,106-27,106-01,106-15
,2236,F, ,,,,,,,,106-26,106-20,106-15,106-01,106-22,106-27
106-21,2253,F, ,,Y,,,,,,106-08,106-18,106-06,106-15,106-22,106-22
,2278,M,Y,MTN,,,,,,,106-22,106-20,106-30,106-21,106-32,106-31
,2291,M,Y,FB,,,,,,,106-20,106-15,106-14,106-25,106-29,106-33
,2299,M, ,,,,,,,,106-26,106-20,106-30,106-28,106-35,106-25
,2301,M, ,,,,,,,,106-15,106-20,106-12,106-08,106-03,106-32
,2328,F, ,,,,,,,,106-15,106-20,106-24,106-12,106-14,106-27
,2330,F, ,,,,,,,,106-27,106-20,106-24,106-31,106-29,106-28
,2362,F,,,,,,,,,106-20,106-27,106-36,,106-21,106-01
,2382,F, ,,,,,,,,106-20,106-32,106-31,106-26,106-27,106-29
,2386,M, ,,,,,,,,106-15,106-20,106-21,106-27,106-13,106-26
106-21,2387,M,,,,Y,,,,,106-21,106-06,106-24,106-21,106-20,106-29
106-21,2396,F, ,,Y,,,,,,106-21,106-33,106-20,106-30,106-09,106-12
,2399,F,Y,SB,,,,,,,106-21,106-22,106-31,106-13,106-36,106-14
106-21,2412,F, ,,Y,,,,,,106-33,106-21,106-29,106-31,106-26,106-24
,2418,M, ,,,,,,,,106-21,106-15,106-22,106-30,106-26,106-24
,2419,F, ,,,,,,,,106-21,106-06,106-26,106-22,106-27,
,2427,M, ,,,,,,,,106-21,106-14,106-32,106-30,106-20,106-12
,2452,M,Y,FB,,,,,,,106-21,106-12,106-11,106-26,106-15,106-24
,2455,F, ,,,,,,,,106-31,106-21,106-17,106-15,106-28,106-35
,2462,M,,,,,,,,,106-21,106-27,106-15,106-22,106-26,106-12
,2475,M,Y,MTF,,,,,,,106-21,106-15,106-05,106-02,106-22,106-29
,2499,M, ,,,,,,,,106-21,106-15,106-14,106-11,106-22,106-31
